Question,Type,Options,Answer
"How many years of experience do you have in engineering management, IT leadership, technical project management, or a similar role?","text","","0"
"What is your current monthly salary? (in Gross)","text","","Tidak disebutkan"
"What is your expected monthly salary? (in Gross)","text","","4500000"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pengembangan Android","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Have you completed the following level of education: Master's Degree?Have you completed the following level of education: Master's Degree? Required","radiobutton","Yes | No","No"
"How many years' experience do you have as a Front End Web Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have Web Design experience?","radiobutton","Yes | No","Yes"
"Seberapa mahir kamu dengan keahlian berikut ini? - linux ubuntu","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Perhatian terhadap Detail","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Do you speak English?Do you speak English? Required","radiobutton","Yes | No","Yes"
"How many years of work experience do you have with Point of Sale (POS) Systems?","text","","0"
"How many years of work experience do you have with Agile Methodologies?","text","","0"
"Expectation salary in gross IDR","text","","4500000"
"How many years of work experience do you have with Canvassing?","text","","0"
"What is your minimum expected salary (net)?","text","","4500000"
"How many years' experience do you have as an Unreal Engine Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a User Experience Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have API Integration experience?","radiobutton","Yes | No","Yes"
"Do you have experience using Figma?","radiobutton","Yes | No","No"
"Do you have technical writing experience? (e.g. user guides, product user manuals, technical specification documents)","radiobutton","Yes | No","No"
"How many years' experience do you have as a Visual Basic Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Game Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of game software development experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years of work experience do you have with User Experience (UX)?","text","","0"
"How many years of work experience do you have with User Interface Design?","text","","0"
"How many years of work experience do you have with Figma (Software)?","text","","0"
"How many years of work experience do you have with Food and Beverage Operations?","text","","0"
"What are your salary expectations for this position?","text","","4500000"
"How many years of team leadership experience do you have?","text","","0"
"How many years of Banking experience do you currently have?","text","","0"
"Berapa tahun pengalaman Anda menjadi Database Programmer?","text","","0"
"Berapa gaji Anda saat ini?","text","","Tidak disebutkan"
"PortfolioPortfolio","dropdown","Yes | No","Yes"
"How many years of work experience do you have with Elementor?","text","","0"
"How many years of work experience do you have with Shopify?","text","","0"
"Do you have experience using Java Spring Boot?","radiobutton","Yes | No","No"
"Do you have experience using Angular?","radiobutton","Yes | No","No"
"Do you have experience using TypeScript?","radiobutton","Yes | No","Yes"
"Do you have experience using REST APIs?","radiobutton","Yes | No","Yes"
"Do you have experience using AWS S3?","radiobutton","Yes | No","No"
"Do you have experience using Mockito Test Framework?","radiobutton","Yes | No","No"
"Do you have experience using Ionic Framework?","radiobutton","Yes | No","No"
"How many years' experience do you have as a Full Stack React Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Full Stack JavaScript Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have CI/CD experience?","radiobutton","Yes | No","No"
"Do you have experience using Express.JS?","radiobutton","Yes | No","Yes"
"Do you have Database Testing experience?","radiobutton","Yes | No","No"
"Do you have experience using Tailwind CSS?","radiobutton","Yes | No","Yes"
"Do you have experience using Nosql?","radiobutton","Yes | No","Yes"
"How many years' experience do you have as a Kotlin Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have experience using Nuxt.JS?","radiobutton","Yes | No","No"
"Do you have experience using Kotlin?","radiobutton","Yes | No","No"
"What is your expected salary (monthly) for this role (gross)?","text","","4500000"
"Apakah kamu memiliki pengalaman menggunakan Sistem Manajemen Gedung?","radiobutton","Ya | Tidak","Tidak"
"How many years of work experience do you have with COBOL?","text","","0"
"How many years of work experience do you have with COBOL II?","text","","0"
"How many years of work experience do you have with Coding Experience?","text","","1"
"How many years of work experience do you have with ASP.NET Core?","text","","0"
"Do you have Linux Server Administration experience?","radiobutton","Yes | No","No"
"Do you have experience using Prometheus Software?","radiobutton","Yes | No","No"
"How many years' experience do you have as an Information Technology Infrastructure Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Sudah berapa lama anda handling menggunakan Angular?","text","","0"
"Apakah kamu bersedia bekerja di luar jam kerja biasa saat dibutuhkan? (cth. akhir pekan, malam hari, hari libur nasional)","radiobutton","Ya | Tidak","Tidak"
"Are you have experience in using java Springboot?","text","","No"
"How many years' experience do you have as a SAP ABAP on HANA Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"Do you have .NET Application Development experience?","radiobutton","Ya | Tidak","Tidak"
"What's your expected salary?","text","","4500000"
"Apakah kamu berpengalaman bekerja dalam lingkungan perbankan bisnis?","radiobutton","Ya | Tidak","Tidak"
"How many years of work experience do you have with Pandas (Software)?","text","","0"
"How many years of work experience do you have with Extract, Transform, Load (ETL)?","text","","0"
"How many years of work experience do you have with Google Cloud Platform (GCP)?","text","","0"
"How many years of work experience do you have with Microsoft SQL ?","text","","0"
"Seberapa mahir kamu dengan keahlian berikut ini? - Internet of Things (IoT)","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Turborepo","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Layanan GCP apa saja yang sering Anda gunakan untuk memproduksi dan mengelola aplikas? serta Design pattern apa saja yang pernah Anda terapkan dalam microservices dan mengapa memilihnya?","text","","Saya terbiasa menggunakan Google Compute Engine, Cloud Run, dan Cloud SQL untuk deployment serta pengelolaan service. Untuk arsitektur microservices, saya menerapkan API Gateway pattern untuk routing dan keamanan, serta Event-Driven/CQRS pattern dengan message broker agar antar service tetap loosely coupled, scalable, dan memiliki performa tinggi."
"Seberapa mahir kamu dengan keahlian berikut ini? - Pemeliharaan Listrik","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pelayanan Pelanggan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Teknik Pemeliharaan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Microsoft Excel","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Preventive Maintenance","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Menengah"
"Seberapa mahir kamu dengan keahlian berikut ini? - Microsoft Word","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pemeliharaan Mekanik","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Seberapa mahir kamu dengan keahlian berikut ini? - Pemeliharaan Peralatan","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Dasar"
"Berapa lama pengalaman yang kamu miliki sebagai Maintenance Engineer?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","Tidak Berpengalaman"
"Apakah anda punya pengalaman dalam membangun bisnis sendiri?","text","","Yes"
"Apakah anda senang bertemu orang baru dan sharing suatu pengalaman dengan orang?","text","","Yes"
"Apakah anda punya pengalaman dalam penjualan langsung?","text","","Yes"
